Application_ID,Region,Risk_Score_Raw,Applied_Amount,Status,Date_Submitted,Time_to_Approve_Hrs,Transaction_Flags,Customer_Age
100000,Killeen,610.0,1104.43,Approved,2025-07-16 01:19:49.572768,11.21,None,36
100001,Round_Rock,632.0,1320.62,Pending_Review,2025-09-22 00:14:02.572768,,None,52
100002,Waco,723.0,791.98,Approved,2025-10-18 21:03:13.572768,24.28,None,55
100003,Fort_Hood,629.0,887.67,Denied,2025-11-12 20:24:48.572768,33.83,None,57
100004,Killeen,766.0,2559.33,Pending_Review,2025-12-04 00:11:18.572768,,High_Velocity_Deposit,61
100005,Killeen,695.0,2008.8,Denied,2025-10-26 00:04:25.572768,47.91,None,34
100006,Killeen,705.0,2679.19,Approved,2025-08-16 05:23:26.572768,6.13,None,39
100007,Temple,683.0,2145.68,Approved,2025-09-20 12:50:00.572768,7.65,None,38
100008,Fort_Hood,746.0,3176.3,Approved,2025-07-28 10:08:38.572768,12.3,None,60
100009,Waco,746.0,3650.32,Approved,2025-08-12 00:04:19.572768,32.73,None,49
100010,Killeen,720.0,500.0,Approved,2025-10-27 22:25:08.572768,22.34,None,47
100011,Round_Rock,733.0,912.83,Approved,2025-08-22 08:19:33.572768,10.08,None,35
100012,Waco,687.0,1502.52,Denied,2025-06-24 21:00:50.572768,44.48,None,58
100013,Killeen,732.0,1775.54,Approved,2025-12-05 00:06:31.572768,8.63,None,32
100014,Killeen,679.0,1057.78,Denied,2025-08-04 11:28:48.572768,38.9,None,53
100015,Killeen,700.0,3750.4,Approved,2025-10-07 04:24:09.572768,27.37,None,45
100016,Killeen,683.0,8812.78,Approved,2025-10-30 20:29:42.572768,18.29,High_Velocity_Deposit,52
100017,Fort_Hood,672.0,2098.4,Approved,2025-07-22 20:56:11.572768,6.1,None,61
100018,Killeen,658.0,1934.25,Approved,2025-10-14 09:32:05.572768,14.3,None,62
100019,Killeen,728.0,3567.3,Approved,2025-09-01 09:11:34.572768,6.88,None,29
100020,Fort_Hood,778.0,500.0,Approved,2025-09-20 12:02:59.572768,16.2,None,60
100021,Killeen,770.0,1849.69,Pending_Review,2025-11-19 13:24:21.572768,,None,29
100022,Killeen,624.0,3956.95,Approved,2025-10-30 23:11:22.572768,3.56,None,52
100023,Killeen,777.0,1080.82,Approved,2025-09-10 07:53:49.572768,20.79,None,40
100024,Fort_Hood,680.0,677.73,Approved,2025-08-16 04:16:23.572768,9.84,None,57
100025,Waco,736.0,1558.31,Denied,2025-08-09 11:39:51.572768,52.51,None,60
100026,Killeen,645.0,1722.36,Denied,2025-09-23 03:47:41.572768,21.51,High_Velocity_Deposit,53
100027,Fort_Hood,708.0,874.0,Denied,2025-07-13 15:03:47.572768,11.73,None,42
100028,Fort_Hood,718.0,9671.41,Approved,2025-06-24 05:24:14.572768,23.95,None,44
100029,Killeen,610.0,1232.8,Approved,2025-10-26 04:12:41.572768,16.71,None,57
100030,Fort_Hood,736.0,718.43,Approved,2025-11-26 16:41:54.572768,14.14,None,36
100031,Killeen,780.0,1677.57,Denied,2025-11-07 00:43:21.572768,51.34,High_Velocity_Deposit,23
100032,Killeen,689.0,3737.93,Approved,2025-09-04 04:59:52.572768,18.74,None,33
100033,Temple,781.0,1833.41,Approved,2025-09-20 10:06:18.572768,17.41,None,59
100034,Round_Rock,688.0,2666.37,Approved,2025-08-28 04:15:50.572768,14.8,None,27
100035,Waco,,900.36,Approved,2025-08-27 15:12:05.572768,26.75,None,59
100036,Killeen,566.0,5944.08,Approved,2025-08-02 00:50:01.572768,12.81,None,22
100037,Killeen,845.0,2833.79,Approved,2025-11-29 12:38:46.572768,2.72,None,59
100038,Fort_Hood,789.0,4180.4,Approved,2025-09-10 17:29:43.572768,16.89,None,47
100039,Killeen,,2421.47,Pending_Review,2025-06-23 20:42:22.572768,,None,44
100040,Killeen,581.0,3497.86,Approved,2025-10-13 10:34:52.572768,1.35,None,22
100041,Fort_Hood,717.0,899.25,Approved,2025-11-10 17:11:35.572768,34.55,None,42
100042,Killeen,613.0,1220.32,Approved,2025-11-22 12:28:31.572768,13.95,None,40
100043,Temple,726.0,5309.14,Denied,2025-08-11 05:43:17.572768,65.92,None,50
100044,Killeen,724.0,6296.78,Approved,2025-10-13 22:03:25.572768,16.94,None,47
100045,Fort_Hood,643.0,722.23,Approved,2025-08-03 08:30:54.572768,14.22,None,55
100046,Killeen,767.0,2207.88,Approved,2025-07-18 05:13:33.572768,15.17,None,38
100047,Fort_Hood,748.0,1280.81,Approved,2025-07-15 10:03:54.572768,4.18,None,39
100048,Fort_Hood,758.0,1035.23,Approved,2025-07-19 20:12:43.572768,16.01,None,53
100049,Killeen,700.0,2270.76,Approved,2025-07-26 04:02:06.572768,6.89,None,25
100050,Round_Rock,615.0,4504.22,Denied,2025-09-11 05:40:19.572768,21.36,None,51
100051,Waco,758.0,2594.97,Denied,2025-12-06 01:57:05.572768,32.32,None,52
100052,Temple,683.0,1400.23,Denied,2025-07-28 01:17:14.572768,59.47,None,39
100053,Temple,616.0,2729.54,Approved,2025-11-01 23:55:19.572768,11.67,Suspicious_ACH,26
100054,Fort_Hood,781.0,1355.63,Approved,2025-08-11 11:58:08.572768,5.45,None,53
100055,Temple,825.0,2514.15,Pending_Review,2025-10-20 07:40:40.572768,,None,50
100056,Killeen,697.0,5525.74,Denied,2025-09-22 06:58:44.572768,35.29,None,33
100057,Killeen,829.0,500.0,Approved,2025-11-10 21:14:43.572768,13.33,None,36
100058,Killeen,705.0,3421.39,Approved,2025-11-18 20:22:06.572768,19.07,None,36
100059,Killeen,677.0,527.82,Pending_Review,2025-06-28 12:58:08.572768,,None,56
100060,Killeen,662.0,4830.29,Approved,2025-10-17 00:07:21.572768,29.67,None,56
100061,Killeen,798.0,1086.13,Denied,2025-09-28 01:54:53.572768,26.58,None,64
100062,Waco,653.0,682.57,Approved,2025-07-12 23:19:57.572768,7.39,None,35
100063,Killeen,744.0,3153.33,Approved,2025-06-23 07:28:36.572768,20.07,None,60
100064,Killeen,666.0,2419.55,Approved,2025-08-21 13:11:00.572768,8.24,None,39
100065,Fort_Hood,672.0,812.93,Approved,2025-10-18 01:59:46.572768,15.64,None,59
100066,Killeen,761.0,663.55,Approved,2025-09-16 11:41:35.572768,15.55,None,43
100067,Waco,677.0,1556.22,Denied,2025-11-03 22:06:17.572768,22.69,None,59
100068,Killeen,675.0,690.03,Denied,2025-10-05 21:24:34.572768,58.84,None,32
100069,Round_Rock,767.0,773.42,Denied,2025-09-05 22:54:11.572768,44.84,None,24
100070,Waco,795.0,1983.26,Approved,2025-10-03 11:19:56.572768,14.72,None,35
100071,Killeen,738.0,834.89,Approved,2025-09-15 20:40:39.572768,6.96,None,46
100072,Killeen,660.0,2543.33,Approved,2025-10-04 11:25:11.572768,2.65,Suspicious_ACH,35
100073,Waco,669.0,5955.76,Pending_Review,2025-12-08 23:08:55.572768,,None,52
100074,Waco,704.0,1605.44,Approved,2025-06-19 21:57:12.572768,35.04,None,46
100075,Waco,719.0,2006.45,Approved,2025-11-28 11:06:48.572768,6.91,None,62
100076,Waco,640.0,9085.88,Pending_Review,2025-07-11 18:44:06.572768,,None,40
100077,Killeen,743.0,699.19,Approved,2025-07-03 15:40:28.572768,6.85,None,33
100078,Killeen,705.0,4689.06,Denied,2025-08-28 04:24:08.572768,24.82,None,28
100079,Killeen,597.0,4258.56,Denied,2025-08-08 07:17:37.572768,24.14,None,35
100080,Temple,644.0,3581.2,Approved,2025-11-08 13:26:45.572768,13.83,None,50
100081,Fort_Hood,669.0,5081.69,Approved,2025-07-24 12:12:55.572768,6.58,None,35
100082,Killeen,695.0,2263.03,Pending_Review,2025-11-11 02:58:53.572768,,None,44
100083,Killeen,813.0,1134.17,Approved,2025-08-19 22:46:26.572768,2.28,None,35
100084,Killeen,714.0,4340.13,Approved,2025-10-07 20:27:42.572768,37.24,None,44
100085,Killeen,649.0,4475.05,Approved,2025-10-16 23:25:55.572768,8.56,None,29
100086,Waco,713.0,4377.58,Approved,2025-08-05 00:55:02.572768,14.53,None,34
100087,Fort_Hood,678.0,1873.57,Denied,2025-10-10 02:07:42.572768,97.04,None,57
100088,Temple,719.0,1019.48,Pending_Review,2025-06-30 04:15:56.572768,,None,22
100089,Fort_Hood,734.0,2107.15,Pending_Review,2025-08-27 22:51:42.572768,,None,58
100090,Killeen,772.0,3842.14,Pending_Review,2025-09-01 17:59:11.572768,,None,47
100091,Waco,698.0,4103.03,Approved,2025-08-26 08:28:02.572768,3.63,None,25
100092,Waco,798.0,1282.11,Denied,2025-09-24 00:30:37.572768,66.21,None,37
